"short_description","icd_code","long_title"
"Hemic and lymphatic systems","1400   ","Malignant neoplasm of upper lip, vermilion border"
"Digestive system","1401   ","Malignant neoplasm of lower lip, vermilion border"
"Hospital observation services","1401   ","Malignant neoplasm of lower lip, vermilion border"
"Integumentary system","1401   ","Malignant neoplasm of lower lip, vermilion border"
"Hospital observation services","1410   ","Malignant neoplasm of base of tongue"
"Digestive system","1411   ","Malignant neoplasm of dorsal surface of tongue"
"Hospital observation services","1411   ","Malignant neoplasm of dorsal surface of tongue"
"Respiratory system","1411   ","Malignant neoplasm of dorsal surface of tongue"
"Digestive system","1419   ","Malignant neoplasm of tongue, unspecified"
"Hospital observation services","1419   ","Malignant neoplasm of tongue, unspecified"
"Digestive system","1420   ","Malignant neoplasm of parotid gland"
"Hospital observation services","1420   ","Malignant neoplasm of parotid gland"
"Digestive system","1450   ","Malignant neoplasm of cheek mucosa"
"Hemic and lymphatic systems","1450   ","Malignant neoplasm of cheek mucosa"
"Hospital observation services","1450   ","Malignant neoplasm of cheek mucosa"
"Hospital observation services","1459   ","Malignant neoplasm of mouth, unspecified"
"Digestive system","1460   ","Malignant neoplasm of tonsil"
"Hospital observation services","1460   ","Malignant neoplasm of tonsil"
"Cardiovascular system","1469   ","Malignant neoplasm of oropharynx, unspecified site"
"Digestive system","1469   ","Malignant neoplasm of oropharynx, unspecified site"
"Hospital observation services","1469   ","Malignant neoplasm of oropharynx, unspecified site"
"Cardiovascular system","1471   ","Malignant neoplasm of posterior wall of nasopharynx"
"Hospital observation services","1471   ","Malignant neoplasm of posterior wall of nasopharynx"
"Hospital observation services","1478   ","Malignant neoplasm of other specified sites of nasopharynx"
"Respiratory system","1478   ","Malignant neoplasm of other specified sites of nasopharynx"
"Hospital observation services","1479   ","Malignant neoplasm of nasopharynx, unspecified site"
"Special otorhinolaryngologic services","1481   ","Malignant neoplasm of pyriform sinus"
"Hospital observation services","1483   ","Malignant neoplasm of posterior hypopharyngeal wall"
"Cardiovascular","1489   ","Malignant neoplasm of hypopharynx, unspecified site"
"Cardiovascular system","1489   ","Malignant neoplasm of hypopharynx, unspecified site"
"Hospital observation services","1490   ","Malignant neoplasm of pharynx, unspecified"
"Digestive system","1501   ","Malignant neoplasm of thoracic esophagus"
"Hospital observation services","1501   ","Malignant neoplasm of thoracic esophagus"
"Respiratory system","1501   ","Malignant neoplasm of thoracic esophagus"
"Hospital observation services","1503   ","Malignant neoplasm of upper third of esophagus"
"Cardiovascular system","1504   ","Malignant neoplasm of middle third of esophagus"
"Digestive system","1504   ","Malignant neoplasm of middle third of esophagus"
"Special otorhinolaryngologic services","1504   ","Malignant neoplasm of middle third of esophagus"
"Cardiovascular system","1505   ","Malignant neoplasm of lower third of esophagus"
"Digestive system","1505   ","Malignant neoplasm of lower third of esophagus"
"Hospital observation services","1505   ","Malignant neoplasm of lower third of esophagus"
"Cardiovascular system","1508   ","Malignant neoplasm of other specified part of esophagus"
"Digestive system","1508   ","Malignant neoplasm of other specified part of esophagus"
"Hospital observation services","1508   ","Malignant neoplasm of other specified part of esophagus"
"Cardiovascular system","1509   ","Malignant neoplasm of esophagus, unspecified site"
"Digestive system","1509   ","Malignant neoplasm of esophagus, unspecified site"
"Hospital observation services","1509   ","Malignant neoplasm of esophagus, unspecified site"
"Integumentary system","1509   ","Malignant neoplasm of esophagus, unspecified site"
"Respiratory system","1509   ","Malignant neoplasm of esophagus, unspecified site"
"Cardiovascular system","1510   ","Malignant neoplasm of cardia"
"Digestive system","1510   ","Malignant neoplasm of cardia"
"Hemic and lymphatic systems","1510   ","Malignant neoplasm of cardia"
"Hospital observation services","1510   ","Malignant neoplasm of cardia"
"Respiratory system","1510   ","Malignant neoplasm of cardia"
"Digestive system","1513   ","Malignant neoplasm of fundus of stomach"
"Hospital observation services","1513   ","Malignant neoplasm of fundus of stomach"
"Digestive system","1514   ","Malignant neoplasm of body of stomach"
"Hospital observation services","1515   ","Malignant neoplasm of lesser curvature of stomach, unspecified"
"Digestive system","1518   ","Malignant neoplasm of other specified sites of stomach"
"Hospital observation services","1518   ","Malignant neoplasm of other specified sites of stomach"
"Digestive system","1519   ","Malignant neoplasm of stomach, unspecified site"
"Hospital observation services","1519   ","Malignant neoplasm of stomach, unspecified site"
"Urinary system","1519   ","Malignant neoplasm of stomach, unspecified site"
"Digestive system","1520   ","Malignant neoplasm of duodenum"
"Hospital observation services","1520   ","Malignant neoplasm of duodenum"
"Hospital observation services","1521   ","Malignant neoplasm of jejunum"
"Cardiovascular system","1528   ","Malignant neoplasm of other specified sites of small intestine"
"Digestive system","1528   ","Malignant neoplasm of other specified sites of small intestine"
"Hospital observation services","1528   ","Malignant neoplasm of other specified sites of small intestine"
"Digestive system","1530   ","Malignant neoplasm of hepatic flexure"
"Hospital observation services","1532   ","Malignant neoplasm of descending colon"
"Digestive system","1533   ","Malignant neoplasm of sigmoid colon"
"Hospital observation services","1533   ","Malignant neoplasm of sigmoid colon"
"Urinary system","1533   ","Malignant neoplasm of sigmoid colon"
"Digestive system","1535   ","Malignant neoplasm of appendix vermiformis"
"Digestive system","1536   ","Malignant neoplasm of ascending colon"
"Hospital observation services","1536   ","Malignant neoplasm of ascending colon"
"Hospital observation services","1537   ","Malignant neoplasm of splenic flexure"
"Hospital observation services","1538   ","Malignant neoplasm of other specified sites of large intestine"
"Urinary system","1538   ","Malignant neoplasm of other specified sites of large intestine"
"Cardiovascular","1539   ","Malignant neoplasm of colon, unspecified site"
"Cardiovascular system","1539   ","Malignant neoplasm of colon, unspecified site"
"Digestive system","1539   ","Malignant neoplasm of colon, unspecified site"
"Female genital system","1539   ","Malignant neoplasm of colon, unspecified site"
"Hospital observation services","1539   ","Malignant neoplasm of colon, unspecified site"
"Respiratory system","1539   ","Malignant neoplasm of colon, unspecified site"
"Urinary system","1539   ","Malignant neoplasm of colon, unspecified site"
"Cardiovascular system","1540   ","Malignant neoplasm of rectosigmoid junction"
"Digestive system","1540   ","Malignant neoplasm of rectosigmoid junction"
"Hospital observation services","1540   ","Malignant neoplasm of rectosigmoid junction"
"Cardiovascular","1541   ","Malignant neoplasm of rectum"
"Cardiovascular system","1541   ","Malignant neoplasm of rectum"
"Digestive system","1541   ","Malignant neoplasm of rectum"
"Hospital observation services","1541   ","Malignant neoplasm of rectum"
"Integumentary system","1541   ","Malignant neoplasm of rectum"
"Various Services - Category III Codes","1541   ","Malignant neoplasm of rectum"
"Hospital observation services","1548   ","Malignant neoplasm of other sites of rectum, rectosigmoid junction, and anus"
"Cardiovascular","1550   ","Malignant neoplasm of liver, primary"
"Cardiovascular system","1550   ","Malignant neoplasm of liver, primary"
"Digestive system","1550   ","Malignant neoplasm of liver, primary"
"Hospital observation services","1550   ","Malignant neoplasm of liver, primary"
"Hydration,therapeutic,prophylactic,diagnostic injections and infusions,and chemotherapy and other highly complex drug or highly complex biologic agent administration","1550   ","Malignant neoplasm of liver, primary"
"Respiratory system","1550   ","Malignant neoplasm of liver, primary"
"Digestive system","1551   ","Malignant neoplasm of intrahepatic bile ducts"
